,report_name,report_period,pbls_year,sector
1,(재)다솜이재단 2008지속가능경영보고서,2008.01~2008.12,2009,Non-Profit&Services
2,㈜연우 지속가능경영보고서 2019~20,2019.1~2019.12,2020,Other
3,18-19 BGF group Sustainability Report,2018.1~2018.12,2019,Retailers
4,19-20 BGF group Sustainability Report,2019.1~2019.12,2020,Retailers
5,2 0 1 4 - 2 0 1 5 LG디스플레이 지속가능경영보고서,2014.1~2014.12,2015,Equipment
6,2003 지속가능성 보고서,2003.01~2003.12,2004,Conglomerates
7,2004 지속가능성 보고서,2004.01~2004.12,2000,Conglomerates
8,2004 환경사회보고서,2000.01~2003.12,2004,Automotive
9,2004-2005 지속가능성 보고서,2004.04~2005.03,2008,Financial Services
10,2005 Environmental Progress Report,2004.01~2004.12,2005,Household and Personal Products
11,2005 Sustainability Report,2002.01~2004.12,2005,석유 및 가스
12,2005 기아자동차 환경사회보고서,2000.01~2004.12,2005,Automotive
13,2005 지속가능성 보고서,2005.01~2005.12,2006,Conglomerates
14,2005 지속가능성 보고서,2005.01~2005.12,2006,Telecommunications
15,2005 지속가능성보고서,2005.01~2005.12,2006,Energy
16,2005 환경사회보고서,2004.01~2004.12,2005,Aviation
17,2006 Environmental Progress Report,2005.01~2005.12,2006,Household and Personal Products
18,2006 SUSTAINABILITY REPORT,2005.01~2005.12,2006,Aviation
19,2006 Sustainability Report,2006.01~2006.12,2007,Chemicals
20,2006 삼성전자 환경사회보고서,2005.01~2005.12,2006,Consumer Durables
21,2006 신한은행 사회책임보고서,2003.01~2006.06,2007,은행
22,2006 웅진그룹 환경사회 보고서,2006.01~2006.12,2007,환경가전
23,2006 지속가능경영 보고서,2006.04~2007.03,2007,Financial Services
24,2006 지속가능경영보고서,2005.01~2005.12,2006,Aviation
25,2006 지속가능경영보고서,2005.01~2005.12,2006,Energy
26,2006 지속가능성 보고서,2006.01~2006.12,2007,Conglomerates
27,2006 지속가능성보고서,2006.01~2006.12,2007,Energy
28,2006 지속가능성보고서,2006.01~2006.12,2007,철강
29,2006-2007 지속가능성 보고서,2005.01~2007.12,2009,Financial Services
30,2007 Environmental Progress Report,2006.01~2006.12,2007,Household and Personal Products
31,2007 Sistainability Report,2007.01~2007.12,2008,Chemicals
32,2007 Sustainability Report,2006.01~2006.12,2007,Public Agency
33,2007 Sustainability Report,2006.01~2006.12,2008,Energy
34,2007 Sustaining  Excellence %,2006.01~2006.12,2007,Aviation
35,2007 대구은행 지속가능경영보고서 Drive Global Best(Achieving Low Carbon Banking),2007.01~2007.12,2008,은행
36,2007 삼성전자 환경사회보고서,2006.01~2006.12,2007,Consumer Durables
37,2007 지속가능경영보고서,2006.01~2006.12,2007,Aviation
38,2007 지속가능경영보고서,2006.01~2006.12,2007,Food and Beverage Products
39,2007 지속가능경영보고서,2007.01~2007.12,2008,Public Agency
40,2007 지속가능성 보고서,2007.01~2007.12,2008,Conglomerates
41,2007 지속가능성 보고서,2007.01~2007.12,2008,Telecommunications
42,2007 지속가능성보고서,2007.01~2007.12,2008,Energy
43,2007 지속가능성보고서,2007.01~2007.12,2008,생활용품
44,2007 지속가능성보고서,2007.01~2008.09,2009,종합식품
